"","Land Use Type","variable","LandType","Current Setback","No Setback","diffRate"
"1","Water","Area",NA,49.004541,56.372992,15.0362616395081
"2","Water","Capacity",NA,1.225113525,1.4093248,15.0362616395081
"3","Water","Generation",NA,1.4863731951726,1.7072615076711,14.8608918147807
"4","Parking","Area",NA,1.4022375,1.702213,21.3926314194279
"5","Parking","Capacity",NA,0.0230454684782609,0.0279755006086956,21.3926314194279
"6","Parking","Generation",NA,0.0276505272687913,0.0335821029922268,21.4519443545308
"7","Roadside","Area",NA,6.86535130945022,8.74198029919134,27.3347845602295
"8","Roadside","Capacity",NA,0.169544327989901,0.21588890478003,27.3347845602295
"9","Roadside","Generation",NA,0.204830079031513,0.260268143252707,27.0653921940169
"10","Mountain","Area",NA,266.587185278718,498.67939555505,87.0605276970375
"11","Mountain","Capacity",NA,1.15907471860312,2.16817128502195,87.0605276970375
"12","Mountain","Generation",NA,1.43586533970293,2.65356203679838,84.8057727577283
"13","Farmland","Area",NA,290.6043939,571.0847779,96.5162227025777
"14","Farmland","Capacity",NA,1.26349736478261,2.48297729521739,96.5162227025777
"15","Farmland","Generation",NA,1.54138308329147,2.9851984708999,93.6701202484528
"16","Public","Area",NA,4.37838182236119,5.61873751524655,28.3290892208313
"17","Public","Capacity",NA,0.330043996291404,0.423542454468792,28.3290892208313
"18","Public","Generation",NA,0.396003717098816,0.507664670720404,28.1969458366788
"19","Logistics","Area",NA,3.15309107776837,5.45071694816199,72.8689978730264
"20","Logistics","Capacity",NA,0.237681139333854,0.410877003699625,72.8689978730264
"21","Logistics","Generation",NA,0.285079011672451,0.492336083309422,72.701624164147
"22","Industrial","Area",NA,21.7593285720385,25.2931570752586,16.2405218135321
"23","Industrial","Capacity",NA,1.6402260126917,1.90660727607413,16.2405218135321
"24","Industrial","Generation",NA,2.00249434602875,2.33322455315853,16.5159121565397
"25","Residential","Area",NA,38.6954523145944,44.6573561549083,15.4072468047244
"26","Residential","Capacity",NA,2.91687711085117,3.36628756631052,15.4072468047244
"27","Residential","Generation",NA,3.49494347227873,4.02374265347962,15.1304072696807
"28",NA,"Area","Total",682.449962774931,1217.60132644782,78.4162052697446
"29",NA,"Capacity","Total",8.96510366402202,12.4116520861811,38.4440442779318
"30",NA,"Generation","Total",10.8746227715461,14.9968402222823,37.9067627202868
